.level,.threshold,specificity,sensitivity
Dropout,0.027440564706921577,0.14475873544093176,0.9964912280701754
Dropout,0.027635052800178528,0.14642262895174707,0.9964912280701754
Dropout,0.02769804745912552,0.14808652246256238,0.9964912280701754
Dropout,0.02773832157254219,0.14975041597337768,0.9964912280701754
Dropout,0.027835005894303322,0.151414309484193,0.9964912280701754
Dropout,0.027850797399878502,0.1530782029950083,0.9964912280701754
Dropout,0.02788924239575863,0.1547420965058236,0.9964912280701754
Dropout,0.02849787287414074,0.1547420965058236,0.9929824561403509
Dropout,0.028695477172732353,0.1564059900166389,0.9929824561403509
Dropout,0.029028218239545822,0.1580698835274542,0.9929824561403509
Dropout,0.02921549789607525,0.15973377703826952,0.9929824561403509
Dropout,0.029221301898360252,0.16139767054908483,0.9929824561403509
Dropout,0.02951030246913433,0.16306156405990013,0.9929824561403509
Dropout,0.02953244186937809,0.16472545757071544,0.9929824561403509
Dropout,0.02956455387175083,0.16638935108153075,0.9929824561403509
Dropout,0.029625138267874718,0.16805324459234605,0.9929824561403509
Dropout,0.02983533777296543,0.16971713810316136,0.9929824561403509
Dropout,0.02986035868525505,0.17138103161397666,0.9929824561403509
Dropout,0.030099859461188316,0.17304492512479197,0.9929824561403509
Dropout,0.030116992071270943,0.17470881863560728,0.9929824561403509
Dropout,0.030132656916975975,0.17637271214642258,0.9929824561403509
Dropout,0.03038502112030983,0.1780366056572379,0.9929824561403509
Dropout,0.030387964099645615,0.1797004991680532,0.9929824561403509
Dropout,0.03040783852338791,0.1813643926788685,0.9929824561403509
Dropout,0.03095363825559616,0.1830282861896838,0.9929824561403509
Dropout,0.030966205522418022,0.18469217970049912,0.9929824561403509
Dropout,0.031119124963879585,0.18635607321131442,0.9929824561403509
Dropout,0.03121528960764408,0.18801996672212984,0.9929824561403509
Dropout,0.03131403401494026,0.18968386023294515,0.9929824561403509
Dropout,0.03145548701286316,0.19134775374376045,0.9929824561403509
Dropout,0.03165366128087044,0.19301164725457576,0.9929824561403509
Dropout,0.03171088919043541,0.19467554076539106,0.9929824561403509
Dropout,0.03174186870455742,0.19633943427620637,0.9929824561403509
Dropout,0.03182053565979004,0.19800332778702168,0.9929824561403509
Dropout,0.03184308856725693,0.19966722129783698,0.9929824561403509
Dropout,0.031901199370622635,0.2013311148086523,0.9929824561403509
Dropout,0.0319625623524189,0.2029950083194676,0.9929824561403509
Dropout,0.03261615335941315,0.2046589018302829,0.9929824561403509
Dropout,0.0328480564057827,0.2063227953410982,0.9929824561403509
Dropout,0.033270761370658875,0.20798668885191351,0.9929824561403509
Dropout,0.03333388641476631,0.20965058236272882,0.9929824561403509
Dropout,0.03334522247314453,0.21131447587354413,0.9929824561403509
Dropout,0.03345547616481781,0.21297836938435943,0.9929824561403509
Dropout,0.03348590061068535,0.21464226289517474,0.9929824561403509
Dropout,0.03356626257300377,0.21630615640599005,0.9929824561403509
Dropout,0.03361153230071068,0.21797004991680535,0.9929824561403509
Dropout,0.03389152139425278,0.21963394342762066,0.9929824561403509
Dropout,0.03403981402516365,0.22129783693843597,0.9929824561403509
Dropout,0.03411082550883293,0.22296173044925127,0.9929824561403509
Dropout,0.03424519672989845,0.22462562396006658,0.9929824561403509
Dropout,0.03428410738706589,0.22628951747088188,0.9929824561403509
Dropout,0.03451147302985191,0.2279534109816972,0.9929824561403509
Dropout,0.03491653501987457,0.2296173044925125,0.9929824561403509
Dropout,0.0350094772875309,0.2312811980033278,0.9929824561403509
Dropout,0.03502657637000084,0.2329450915141431,0.9929824561403509
Dropout,0.03539838641881943,0.23460898502495842,0.9929824561403509
Dropout,0.03559808433055878,0.23627287853577372,0.9929824561403509
Dropout,0.035665787756443024,0.23793677204658903,0.9929824561403509
Dropout,0.0363338328897953,0.23960066555740434,0.9929824561403509
Dropout,0.03641894832253456,0.24126455906821964,0.9929824561403509
Dropout,0.03652183338999748,0.24292845257903495,0.9929824561403509
Dropout,0.0367753729224205,0.24459234608985025,0.9929824561403509
Dropout,0.03690558671951294,0.24625623960066556,0.9929824561403509
Dropout,0.03691031411290169,0.24792013311148087,0.9929824561403509
Dropout,0.036917053163051605,0.24958402662229617,0.9929824561403509
Dropout,0.03692531958222389,0.2512479201331115,0.9929824561403509
Dropout,0.03696637600660324,0.2529118136439268,0.9929824561403509
Dropout,0.03718695789575577,0.2545757071547421,0.9929824561403509
Dropout,0.037238530814647675,0.2562396006655574,0.9929824561403509
Dropout,0.03747761249542236,0.2579034941763727,0.9929824561403509
Dropout,0.03749435395002365,0.259567387687188,0.9929824561403509
Dropout,0.03775141015648842,0.2612312811980033,0.9929824561403509
Dropout,0.03782817721366882,0.2628951747088186,0.9929824561403509
Dropout,0.03793390840291977,0.26455906821963393,0.9929824561403509
Dropout,0.03795020654797554,0.26622296173044924,0.9929824561403509
Dropout,0.03812102600932121,0.26788685524126454,0.9929824561403509
Dropout,0.03815570846199989,0.26955074875207985,0.9929824561403509
Dropout,0.03827885165810585,0.27121464226289516,0.9929824561403509
Dropout,0.03835240378975868,0.27287853577371046,0.9929824561403509
